"state","year","shootings_total","shootings_black","shootings_white","shootings_other","pop_total","pop_black","pop_white","pop_other","rate_total","rate_black","rate_white","rate_other","control_totpop","control_blackshare","yr_2015","yr_2016","yr_2017","yr_2018","yr_2019","yr_2020","region"
"KS",2017,12,2,6,4,2911505,207156,2559361,144988,4.12157973281859e-06,6.86929955469766e-07,2.0607898664093e-06,1.37385991093953e-06,2911505,0.0711508309276474,0,0,1,0,0,0,"midwest"
"KS",2018,7,2,2,3,2911505,207156,2559361,144988,2.40425484414418e-06,6.86929955469766e-07,6.86929955469766e-07,1.03039493320465e-06,2911505,0.0711508309276474,0,0,0,1,0,0,"midwest"
"KS",2019,9,1,8,NA,2911505,207156,2559361,144988,3.09118479961395e-06,3.43464977734883e-07,2.74771982187906e-06,NA,2911505,0.0711508309276474,0,0,0,0,1,0,"midwest"
"KS",2020,5,NA,3,2,2911505,207156,2559361,144988,1.71732488867441e-06,NA,1.03039493320465e-06,6.86929955469766e-07,2911505,0.0711508309276474,0,0,0,0,0,1,"midwest"
"KY",2015,16,4,10,2,4468402,405485,3966164,96753,3.58069842417938e-06,8.95174606044846e-07,2.23793651511211e-06,4.47587303022423e-07,4468402,0.0907449687830235,1,0,0,0,0,0,"south"
"KY",2016,18,2,15,1,4468402,405485,3966164,96753,4.02828572720181e-06,4.47587303022423e-07,3.35690477266817e-06,2.23793651511211e-07,4468402,0.0907449687830235,0,1,0,0,0,0,"south"
"KY",2017,17,1,16,NA,4468402,405485,3966164,96753,3.80449207569059e-06,2.23793651511211e-07,3.58069842417938e-06,NA,4468402,0.0907449687830235,0,0,1,0,0,0,"south"
"KY",2018,20,2,14,4,4468402,405485,3966164,96753,4.47587303022423e-06,4.47587303022423e-07,3.13311112115696e-06,8.95174606044846e-07,4468402,0.0907449687830235,0,0,0,1,0,0,"south"
"KY",2019,15,4,8,3,4468402,405485,3966164,96753,3.35690477266817e-06,8.95174606044846e-07,1.79034921208969e-06,6.71380954533634e-07,4468402,0.0907449687830235,0,0,0,0,1,0,"south"
"KY",2020,17,2,10,5,4468402,405485,3966164,96753,3.80449207569059e-06,4.47587303022423e-07,2.23793651511211e-06,1.11896825755606e-06,4468402,0.0907449687830235,0,0,0,0,0,1,"south"
"LA",2015,27,14,11,2,4659978,1557173,2968719,134086,5.7940187700457e-06,3.00430602891258e-06,2.36052616557417e-06,4.2918657555894e-07,4659978,0.334158873711421,1,0,0,0,0,0,"south"
