city,state,pop_est_2019,pop_est_2010,pop_dens_2016_mi,pop_dens_2016_km
Thousand Oaks,California,"126,813","126,683",2335,902
Lafayette,Louisiana,"126,185","120,623",2372,916
Simi Valley,California,"125,613","124,237",3044,1175
Topeka,Kansas,"125,310","127,473",2062,796
Norman,Oklahoma,"124,880","110,925",683,264
Fargo,North Dakota,"124,662","105,549",2450,950
Wilmington,North Carolina,"123,744","106,476",2278,880
Abilene,Texas,"123,420","117,063",1146,442
Odessa,Texas,"123,334","99,940",2608,1007
Columbia,Missouri,"123,195","108,500",1856,717
Pearland,Texas,"122,460","91,252",2453,947
Victorville,California,"122,385","115,903",1668,644
Hartford,Connecticut,"122,105","124,775",7083,2735
Vallejo,California,"121,692","115,942",3951,1525
Allentown,Pennsylvania,"121,442","118,032",6882,2657
Berkeley,California,"121,363","112,580",11547,4458
Richardson,Texas,"121,323","99,223",3963,1530
Arvada,Colorado,"121,272","106,433",3043,1175
Ann Arbor,Michigan,"119,980","113,934",4298,1659
Rochester,Minnesota,"118,935","106,769",2088,806
Cambridge,Massachusetts,"118,927","105,162",17289,6675
Sugar Land,Texas,"118,488","78,817",3488,1347
Lansing,Michigan,"118,210","114,297",2967,1146
Evansville,Indiana,"117,979","117,429",2526,975
College Station,Texas,"117,911","93,857",2199,849
Fairfield,California,"117,133","105,321",2806,1083
Clearwater,Florida,"116,946","107,685",4415,1705
Beaumont,Texas,"116,825","118,296",1441,556
Independence,Missouri,"116,672","116,830",1504,581
Provo,Utah,"116,618","112,488",2803,1082
West Jordan,Utah,"116,480","103,712",3520,1360
Murrieta,California,"116,223","103,466",3324,1283
Palm Bay,Florida,"115,552","103,190",1676,647
El Monte,California,"115,487","113,475",12063,4658
Carlsbad,California,"115,382","105,328",3023,1167
Temecula,California,"114,761","100,097",3031,1170
Clovis,California,"114,584","95,631",4404,1700
Springfield,Illinois,"114,230","116,250",1925,743
Meridian,Idaho,"114,161","75,092",3584,1384
Westminster,Colorado,"113,166","106,114",3592,1387
Costa Mesa,California,"113,003","109,960",7186,2775
High Point,North Carolina,"112,791","104,371",2015,778
Manchester,New Hampshire,"112,673","109,565",3339,1289
Pueblo,Colorado,"112,361","106,595",2058,795
Lakeland,Florida,"112,136","97,422",1615,624
Pompano Beach,Florida,"112,118","99,845",4558,1760
West Palm Beach,Florida,"111,955","99,919",1963,758
Antioch,California,"111,502","102,372",3772,1456
Everett,Washington,"111,475","103,019",3275,1264
Downey,California,"111,126","111,772",9134,3527
Lowell,Massachusetts,"110,997","106,519",8129,3139
Centennial,Colorado,"110,937","100,377",3727,1439
Elgin,Illinois,"110,849","108,188",2998,1158
Richmond,California,"110,567","103,701",3648,1409
Peoria,Illinois,"110,417","115,007",2371,915
Broken Arrow,Oklahoma,"110,198","98,850",1741,672
Miami Gardens,Florida,"110,001","107,167",6212,2398
Billings,Montana,"109,577","104,170",2525,975
Jurupa Valley,California,"109,527",0,2414,932
